Store,Lat,Long,ID,Demand Estimate,x,y,r_Distribution Centre Auckland,theta
Countdown Airport,-36.99736985,174.7888823,0,8.0,-1579.0762838178198,-5401.646144649014,8247.28,-106.29535265845256
Countdown Auckland City,-36.84496186,174.77311919999997,1,8.25,-3376.976247885672,11476.115966087207,23019.5,106.39711288435835
Countdown Aviemore Drive,-36.89887827,174.9065699,2,9.0,8654.610655704106,5763.167064466514,13931.78,33.659929504550504
Countdown Birkenhead,-36.81111802,174.72487759999999,3,10.0,-7768.390256358252,15129.852467400022,28912.2,117.1781339412318
Countdown Blockhouse Bay,-36.92291876,174.70235209999998,4,8.25,-9479.406340450805,2676.8167557623237,14273.54,164.23125846863073
Countdown Botany Downs,-36.92972626,174.9110718,5,9.0,9130.75923205464,2349.3044749293476,13582.16,14.428983328992993
Countdown Browns Bay,-36.71714479,174.74727719999998,6,9.25,-6015.490354084177,25603.835897076875,40255.95,103.22155872070547
Countdown Glenfield,-36.78148813,174.72342619999998,7,8.0,-7976.161476394103,18414.335488571785,33762.07,113.41982781824781
Countdown Greenlane,-36.88916156,174.79350369999997,8,10.0,-1445.816596978926,6614.175418732688,13743.64,102.330536655998
Countdown Grey Lynn,-36.85144346,174.73187190000002,9,11.0,-7038.156492247072,10670.38444265537,19416.22,123.40873514101933
Countdown Grey Lynn Central,-36.86311836,174.73856669999998,10,10.25,-6410.506621494249,9389.155043522827,18315.36,124.32356138498763
Countdown Hauraki Corner,-36.79667981,174.7781249,11,9.0,-3055.1565093199024,16843.58035903983,29553.32,100.28076564502769
Countdown Henderson,-36.88089456,174.63322769999996,12,8.25,-15753.18018235208,7189.073314270936,23916.17,155.47008517824665
Countdown Highland Park,-36.89933061,174.9084309,13,8.25,8821.545770849509,5716.616908204742,14076.3,32.94440501956564
Countdown Hobsonville,-36.79748845,174.6487257,14,9.25,-14599.585128092498,16477.696502698585,30368.69,131.54161710835058
Countdown Howick,-36.89585201,174.9335377,15,9.25,11050.445164305333,6151.336558027193,18625.43,29.102920090047164
Countdown Kelston,-36.90955497,174.6638042,16,9.0,-12949.829774326878,4076.161598674953,18363.79,162.52778865874842
Countdown Lincoln Road,-36.8568778,174.63251259999998,17,9.0,-15883.025252413645,9852.332807328552,23431.76,148.18843253195263
Countdown Lynfield,-36.92514077,174.7239957,18,9.0,-7545.383973247663,2476.526454746723,11022.32,161.8292630709275
Countdown Lynmall,-36.90687152,174.6850146,19,8.0,-11067.169808394858,4420.0025871340185,14982.64,158.2292371453027
Countdown Mairangi Bay,-36.73941255,174.7540551,20,9.0,-5352.1117381933145,23147.386451625265,36989.11,103.01907233527704
Countdown Mangere East,-36.9657908,174.825346,21,9.0,1586.0541360919015,-1823.007700920105,4360.07,-48.97606128249428
Countdown Mangere Mall,-36.96987802,174.80112019999999,22,9.0,-560.3946795119555,-2326.0344524215907,3341.42,-103.54571450331639
Countdown Manukau,-36.98676855,174.88481480000002,23,9.0,6932.466822317045,-4031.3220589412376,13655.21,-30.178573063150605
Countdown Manukau Mall,-36.99174967,174.8831931,24,10.0,6800.412808137888,-4587.2065764293075,12952.11,-34.0015647470473
Countdown Manurewa,-37.01734442,174.86510969999998,25,8.25,5254.658640019246,-7463.013463422656,12491.65,-54.850875985873365
Countdown Meadowbank,-36.87610706,174.8289359,26,9.25,1679.0642064348212,8135.06644210685,16098.28,78.33800721575429
Countdown Meadowlands,-36.9132518,174.929465,27,9.25,10729.423323497816,4212.927966768853,16527.42,21.43754608363038
Countdown Milford,-36.77197217,174.76661769999998,28,10.0,-4145.983166129154,19561.049391195178,32028.73,101.96679732598582
Countdown Mt Eden,-36.87718131,174.7523352,29,10.0,-5146.232478534046,7857.7933096289635,13043.83,123.22162422627964
Countdown Mt Roskill,-36.90203359,174.7356996,30,9.0,-6563.655063511978,5065.23725465592,10484.11,142.34227731226287
Countdown Mt Wellington,-36.9093147,174.837989,31,9.0,2569.544646765862,4468.882841493934,8864.85,60.10170506845415
Countdown Newmarket,-36.8705446,174.7754093,32,9.5,-3106.6151068129693,8642.36198742222,22375.18,109.77166757935552
Countdown Northcote,-36.80035237,174.74553380000003,33,9.0,-5953.710197181092,16368.014883294702,28669.58,109.98837695773221
Countdown Northwest,-36.81879206,174.6129291,34,9.0,-17734.792658441525,14034.749815411866,32567.64,141.64303077066575
Countdown Onehunga,-36.92249969,174.78380239999998,35,8.25,-2224.471001185593,2895.1077490309253,5292.85,127.5370603469098
Countdown Pakuranga,-36.91284146,174.8714299,36,8.0,5557.836191422597,4144.6078561823815,10055.08,36.71275126523367
Countdown Papakura,-37.06390487,174.9447236,37,8.0,12449.772986799362,-12473.059739125893,25400.74,-45.05353453410693
Countdown Papatoetoe,-36.97039494,174.862111,38,10.0,4870.839760391216,-2259.7434377344325,6955.79,-24.888142601714232
Countdown Ponsonby,-36.8584399,174.74913859999998,39,11.0,-5480.20990123658,9930.529643931426,19274.53,118.8923183546888
Countdown Pt Chevalier,-36.86957431,174.7105595,40,9.0,-8890.311935143545,8613.308920787647,18292.27,135.90665691492993
Countdown Roselands,-37.05894779999999,174.9414297,41,9.25,12144.973463511153,-11929.392096140422,25568.61,-44.48694089916483
Countdown St Johns,-36.87888192,174.8548393,42,8.0,3994.963901094394,7879.402341730893,13224.0,63.11437321709219
Countdown St Lukes,-36.88336862,174.7347459,43,7.25,-6697.818100680364,7134.203363025561,14118.0,133.19297972218882
Countdown Sunnynook,-36.75907026,174.74069409999998,44,10.0,-6493.744907305518,20938.225142951123,33480.1,107.2306635750016
Countdown Sylvia Park,-36.91713855,174.84182019999997,45,10.0,2930.550591043255,3608.5298293055966,8289.94,50.91934101773169
Countdown Takanini,-37.04764284,174.9279243,46,9.25,10916.683431616751,-10701.157762693241,20392.21,-44.42879115551989
Countdown Takapuna,-36.79125414,174.76620559999998,47,8.0,-4132.799452582374,17420.79363801144,28957.61,103.3457747763254
Countdown Te Atatu,-36.84209292,174.65423810000001,48,8.25,-13986.196821683028,11540.633387370966,22069.86,140.47244278196925
Countdown Te Atatu South,-36.86472278,174.64762919999998,49,9.0,-14513.719115151383,9015.195328149013,21307.67,148.15352065872028
Countdown Three Kings,-36.90796057,174.7559072,50,10.25,-4747.491128514637,4450.167559360154,8863.54,136.85149896639894
Countdown Victoria Street West,-36.84853355,174.76485119999998,51,10.0,-4105.004054703924,11062.597125068307,21932.16,110.35840712589888
Countdown Westgate,-36.82092949,174.61464640000003,52,9.0,-17575.673742627318,13801.412421494722,26078.46,141.8589936838234
Countdown Metro Albert Street,-36.84350157,174.76586619999998,53,5.0,-4027.5567806172767,11623.034788406454,22178.49,109.11197227067503
Countdown Metro Halsey Street,-36.84358106,174.75780659999998,54,4.0,-4746.083598842379,11597.37105245702,22161.59,112.25623710285736
Distribution Centre Auckland,-36.94904179,174.8080123,55,0.0,0.0,0.0,0.0,0.0
FreshChoice Glen Eden,-36.91087436,174.6545496,56,5.0,-13770.834287827078,3909.5215198937804,19206.62,164.15082624483435
FreshChoice Half Moon Bay,-36.88106607,174.9002827,57,5.25,8050.859561838501,7727.155204564333,15685.89,43.824675207647694
FreshChoice Mangere Bridge,-36.94250829,174.7869875,58,6.0,-1889.1767123182071,681.6415100460872,3380.93,160.15984371799664
FreshChoice Otahuhu,-36.94480584,174.8431184,59,5.0,3115.676086419204,541.350459843874,3661.84,9.85677029926709
FreshChoice Ranui,-36.86353948,174.6015834,60,5.25,-18622.235993202135,9044.327850833535,26054.57,154.0953795287853
SuperValue Avondale,-36.89776863,174.69741000000002,61,5.0,-9987.066148572078,5456.770025512204,13526.83,151.34852742263905
SuperValue Flatbush,-36.97676671,174.8972267,62,5.25,8012.717276368989,-2897.104228951037,16058.76,-19.878129092098305
SuperValue Palomino,-36.88287566,174.6161793,63,6.0,-17267.31865059695,6931.423288689926,27542.27,158.12855484831474
SuperValue Papakura,-37.06606311,174.9556975,64,6.0,13430.69391195284,-12691.476289572194,25461.61,-43.379049319199225
SuperValue Titirangi,-36.93739048,174.65729840000003,65,6.0,-13453.60294713726,973.3709185011685,19504.96,175.86184906483828
